FIPS,Pollution,PopChar,Score,Percentile,Range,Region
06037209402,5.925866565312181,8.782339700023064,52.04297319358049,92.255297679112,91-95%,South Coast
06037209401,5.861348455547299,8.160686247009965,47.83262573011794,88.04238143289606,86-90%,South Coast
06037209300,6.85951572027215,7.515235928253036,51.55087899140577,91.813824419778,91-95%,South Coast
06037209200,7.596525145503385,7.15598526244996,54.36062198705276,93.970736629667,91-95%,South Coast
06037209104,6.550873168287399,6.923688772861745,45.35620700771271,85.5196770938446,86-90%,South Coast
06037209103,7.114497255819787,7.915292387471112,56.31332596967447,95.06811301715439,96-100%,South Coast
06037209102,6.74369710885446,7.684447637068407,51.8215873132417,92.02825428859738,91-95%,South Coast
06037208904,6.052359787166674,6.4853477884785065,39.25165816077764,77.44702320887991,76-80%,South Coast
06037208903,5.707743451824503,7.859022351568741,44.85728336490889,84.80070635721493,81-85%,South Coast
06037208902,6.164489636153391,6.989275909036937,43.08531890547477,82.55549949545913,81-85%,South Coast
06037208802,5.360489455356627,7.810718472296244,41.86927400950324,81.18062563067609,81-85%,South Coast
06037208801,5.644902772338394,8.192518395149342,46.245969801211814,86.40262361251261,86-90%,South Coast
06037208720,5.4807464701486275,8.266054503844861,45.304149044003886,85.41876892028255,86-90%,South Coast
06037208710,5.450630187490359,5.6037401981519,30.54391548689995,63.06760847628657,61-65%,South Coast
06037208620,5.613381832128276,7.239551253618011,40.63836547982083,79.51564076690212,76-80%,South Coast
06037208610,6.103299433844004,6.958567301146593,42.4702198694534,81.86175580221999,81-85%,South Coast
06037208502,6.324509420713075,7.667477916843333,48.49303631818512,88.8622603430878,86-90%,South Coast
06037208501,6.618443517003129,5.737300106145171,37.97199669261787,75.5928355196771,76-80%,South Coast
06037208402,7.141363083603297,7.695780838209123,54.95836517748826,94.3239152371342,91-95%,South Coast
06037208401,6.835952913857759,7.192823265624408,49.169801161509056,89.53077699293642,86-90%,South Coast
06037208302,7.952084756869924,7.808200659456893,62.09147344264885,97.70433905146318,96-100%,South Coast
06037208301,7.147721068570178,7.323918614994742,52.34932738889123,92.44450050454087,91-95%,South Coast
06037208000,8.823301974608421,7.100903260907767,62.65341376347088,97.88092835519677,96-100%,South Coast
06037207900,6.852624019879613,5.393359986253506,36.958668189658354,74.01614530776993,71-75%,South Coast
06037207710,7.609684504355956,4.40879185280448,33.549515045217035,68.71846619576185,66-70%,South Coast
06037207502,8.413299263127579,5.62105737818047,47.291637897843586,87.51261352169526,86-90%,South Coast
06037207501,7.605697469485499,3.142736012234174,23.902699335510402,50.416246215943495,51-55%,South Coast
06037207400,9.035230821527234,NA,NA,NA,NA,South Coast
06037207302,8.141422810577314,5.6804869790594745,46.24724626650222,86.41523713420787,86-90%,South Coast
06037207301,8.329665628344392,6.667836768554834,55.540850746442146,94.70232088799193,91-95%,South Coast
06037207103,7.999846509356885,6.558205100062125,52.464634177378514,92.54540867810293,91-95%,South Coast
06037207102,8.279005395491648,7.491610881918004,62.0230869123231,97.66649848637739,96-100%,South Coast
06037207101,8.099793832470933,5.363766778879536,43.44540507438095,83.08526740665994,81-85%,South Coast
06037206300,8.039018553915394,7.685420888647823,61.78324111848878,97.59081735620585,96-100%,South Coast
06037206200,8.28722950323182,7.969574103138458,66.0456896357213,98.7008072653885,96-100%,South Coast
06037206050,9.50085392139504,8.741068356653672,83.04761357349514,99.94954591321897,96-100%,South Coast
06037206032,8.427885689111129,7.996523554879815,67.39378643081164,99.04137235116043,96-100%,South Coast
06037206031,9.89261983154602,5.1875048646830315,51.318013500604806,91.56155398587286,91-95%,South Coast
06037206020,8.641727587759874,4.29692340601784,37.13284154027549,74.30625630676084,71-75%,South Coast
06037206010,9.13188154556687,6.798707501785564,62.08499156926263,97.69172552976791,96-100%,South Coast
06037205120,9.135146239747106,8.873704510325378,81.06258839012582,99.92431886982845,96-100%,South Coast
06037205110,8.533572679585035,8.278091904424802,70.64169891469354,99.45761856710394,96-100%,South Coast
06037204920,9.11237114232399,8.478317400176016,77.25757481282729,99.83602421796165,96-100%,South Coast
06037204910,7.590932347491261,7.657361793686411,58.12651533613788,96.01412714429868,96-100%,South Coast
06037204820,8.300616711752204,7.712293765766405,64.01679451806295,98.20887991927346,96-100%,South Coast
06037204810,7.464030285583099,7.777514654247178,58.0516049258673,95.96367305751767,96-100%,South Coast
06037204700,8.057907171707686,7.933050022871017,63.92378067280819,98.15842583249244,96-100%,South Coast
06037204600,8.465754768154929,8.636067909986616,73.11083308707897,99.60898082744703,96-100%,South Coast
06037204420,5.9713028493816775,8.677679928327787,51.81705488204591,92.01564076690212,91-95%,South Coast
06037204410,6.535199126573885,8.68805538489564,56.77817196299552,95.28254288597377,96-100%,South Coast
06037204300,5.867464802592802,8.6615230299094,50.82118151484037,91.06962663975781,91-95%,South Coast
06037204200,5.491182354332491,9.055459702073856,49.72518052639691,90.0100908173562,91-95%,South Coast
06037204120,5.4025864028774695,8.168632783393608,44.13174440566144,84.00605449041373,81-85%,South Coast
06037204110,4.249576894146136,7.079668775156634,30.085596845113507,62.27295660948536,61-65%,South Coast
06037203900,5.25105455475551,7.919015264908056,41.58318117597386,80.81483350151363,81-85%,South Coast
06037203800,4.336113118879193,6.995403098476211,30.332859147150852,62.701816347124115,61-65%,South Coast
06037203720,5.205297967599898,8.765917259608017,45.62921129558647,85.784561049445,86-90%,South Coast
06037203710,4.765050347879404,7.552927635717869,35.990080458085394,72.52774974772956,71-75%,South Coast
06037203600,6.554284676809042,8.401971363236619,55.06891216105015,94.36175580221999,91-95%,South Coast
06037203500,8.491680411843145,8.005964698812637,67.98409361081497,99.12966700302725,96-100%,South Coast
06037203300,8.560259492321142,7.388436481313026,63.24693352257165,98.03229061553986,96-100%,South Coast
06037203200,7.116010268508965,7.57626217456055,53.91275943108893,93.69323915237135,91-95%,South Coast
